1182.5,333,89,214
1194.5,336,89,214
1202.5,349.5,87,209
1217.5,355.5,87,209
1239.5,364.5,85,205
1262.5,366.5,83,201
1272.5,365.5,87,209
1287.5,373.5,87,209
1304.5,398.5,85,205
1273.5,356.5,85,205
1290.5,363.5,85,205
1302.5,370.5,85,205
1311.5,372.5,83,201
1328.5,374.5,83,201
1342.5,375.5,85,205
1361,376.5,82,197
1369.5,372.5,83,201
1375.5,372.5,87,209
1378,369.5,88,213
1383,369.5,88,213
1386,366,90,218
1389,367,90,218
1382,365,90,218
1386,367,92,222
1393,392,90,218
1396,370,92,222
1396,381.5,94,227
1395,381.5,94,227
1396,365,98,236
1390,357.5,102,245
1390,362,100,240
1390,359.5,102,245
1392,361,100,240
1397,360,100,240
1401,361,98,236
1404,362,98,236
1405,362,98,236
1403,360,100,240
1402,360.5,102,245
1404,360,100,240
1408,361,98,236
1414,362,100,240
1422,361.5,102,245
1433,365,100,240
1445,372,100,240
1451,371,100,240
1457,371,100,240
1457,369.5,102,245
1459,368.5,102,245
1461,368.5,102,245
1458,369.5,102,245
1451,368.5,102,245
1445,367.5,102,245
1437,366.5,102,245
1428,367.5,106,255
1421,365.5,106,255
1414,381,104,250
1408,395.5,102,245
1402,403.5,102,245
1403,404,100,240
1404,405,100,240
1405,405,100,240
1407,402,100,240
1412,394.5,102,245
1419,381.5,102,245
1427,369.5,106,255
1439,367.5,106,255
1458,371,108,260
1479,371,108,260
1492,371,108,260
1501,375,108,260
1522,379,110,266
1537,378,110,266
1552,379,110,266
1571,384,110,266
1593,389,110,266
1605,390,110,266
1565,378,108,260
1575,380.5,106,255
1583,385.5,106,255
1596,384.5,106,255
1610,384.5,106,255
1624,386.5,106,255
1636,391.5,106,255
1646,396.5,106,255
1663,401.5,106,255
1680,403.5,106,255
1702,408.5,106,255
1716,414.5,106,255
1735,423,108,260
1764,430,108,260
1794,436,108,260
1822,429,110,266
1853,448,110,266
1875,482,108,260
1870,476,108,260
1870,476,108,260
1871,446,108,260
1871,442,108,260
1869,474,108,260
1871,477.5,106,255
1872,477.5,106,255
1872,477.5,106,255
1872,477.5,106,255
1873,477.5,106,255
1872,476.5,106,255
